clienteid,produtoid,distribuidorid,dataid,quantidadevendida,faturamento,custofrete
49,28,6,956,64,2069.77,94.92
42,64,18,1583,18,391.65,34.99
32,10,5,1424,41,3014.23,166.12
40,32,12,687,17,128.11,5.43
17,60,15,307,23,196.09,10.40
36,34,6,534,16,695.51,32.60
7,56,9,457,2,99.68,5.86
9,15,4,363,63,93.98,4.84
28,37,30,1794,84,4662.20,268.02
14,40,18,147,95,1996.15,41.28
12,24,21,285,63,3082.27,262.74
9,96,9,1797,45,892.66,48.40
18,59,21,1365,58,1684.64,109.54
33,70,28,161,28,1244.83,61.18
19,49,9,1022,22,1457.66,143.79
32,60,12,1514,88,5358.42,363.06
38,45,29,462,18,36.89,0.08
17,79,20,292,58,3086.22,84.20
34,89,30,686,64,5089.65,93.61
41,12,12,1735,56,463.24,4.71
45,36,22,1488,99,6725.64,620.32
12,49,28,802,54,2208.53,12.78
38,34,10,825,52,999.57,44.96
26,51,22,760,70,775.39,75.91
37,39,24,385,5,328.41,4.04
4,57,12,551,20,561.19,45.29
16,61,27,398,36,1518.75,9.11
20,52,1,1074,38,130.81,6.97
43,78,2,1228,51,4429.81,329.84
35,4,19,1596,20,1659.15,10.28
22,81,5,192,79,6977.68,139.20
15,34,27,1624,89,4047.92,67.95
31,9,26,353,81,7013.88,343.33
40,66,21,1207,46,1408.41,46.59
12,71,25,1782,7,388.80,17.90
35,13,8,569,24,410.36,9.95
20,1,18,1283,51,1552.62,17.09
33,64,12,64,59,1638.71,92.42
17,15,28,1245,87,1321.23,20.90
36,54,24,590,65,5120.77,153.40
41,90,15,1108,64,3629.71,166.12
14,10,11,793,12,1079.03,55.98
5,83,20,1341,17,339.14,1.16
5,16,13,940,89,2387.47,46.36
7,2,30,827,6,475.36,44.87
6,45,16,1085,35,2041.99,136.90
31,31,24,1130,64,2346.63,121.91
33,88,19,719,10,344.01,25.02
34,81,12,353,58,4842.64,2.74
34,15,15,1173,3,136.50,4.17
48,58,17,6,69,2929.55,215.44
18,95,13,1487,62,4064.23,232.43
32,43,5,1493,57,819.17,48.03
32,4,24,1027,100,7584.98,417.31
25,91,1,798,76,2153.27,35.78
25,48,21,101,65,2936.11,149.34
26,96,26,826,86,7783.84,641.88
10,87,30,1074,52,4419.87,115.84
19,92,1,930,83,935.91,84.41
17,100,11,1242,42,3599.55,90.38
1,58,26,662,91,837.66,0.03
30,27,20,1421,46,4433.24,422.94
10,26,25,397,48,888.70,75.48
32,92,23,349,42,467.47,13.24
1,12,21,1594,100,2632.74,95.50
46,42,10,1378,48,3919.49,112.41
47,68,29,694,18,1706.36,72.99
12,87,8,596,98,8421.99,353.75
33,54,2,1815,38,3704.82,271.50
10,10,9,1152,36,3126.90,124.52
28,8,7,226,70,1486.07,68.65
8,5,9,466,31,2602.38,38.29
17,35,9,1614,75,1229.45,13.09
48,21,4,322,58,1214.16,17.81
14,7,24,1082,24,606.95,0.60
45,38,22,129,77,168.52,8.68
2,94,30,887,43,1219.25,114.37
38,41,28,1510,45,4399.03,158.23
29,92,7,349,26,642.98,36.87
19,13,5,451,32,167.39,14.55
29,85,23,1383,15,591.95,32.25
20,30,24,138,24,969.61,34.76
41,59,21,912,57,2212.08,58.14
32,85,14,355,30,932.12,18.81
42,44,21,369,73,3880.49,189.06
42,32,24,298,72,4728.87,368.31
49,69,2,328,58,5549.20,49.48
32,17,28,568,92,1220.05,75.96
41,56,11,1591,48,1476.84,90.07
37,100,16,1737,56,4725.56,447.00
39,66,17,1149,41,3532.35,179.43
42,64,1,1717,92,7140.08,518.80
19,63,6,1017,98,3153.35,239.82
28,38,23,1448,37,1693.43,3.96
12,56,7,1822,4,298.49,23.31
8,96,27,1231,47,1428.68,125.81
18,63,17,486,17,1506.33,31.10
46,7,27,972,58,3691.81,253.27
4,95,13,189,89,3158.95,299.02
47,95,15,1082,24,494.88,30.49
49,20,13,798,57,48.52,2.66
26,55,25,1257,66,1271.55,82.52
14,12,7,1395,71,2755.48,202.35
26,90,26,1027,17,610.10,43.76
1,38,8,623,60,3601.52,348.62
14,81,27,1022,54,2864.63,48.12
20,12,2,720,65,3500.27,61.85
49,67,15,802,55,4092.07,269.67
7,59,23,1101,34,257.65,24.19
20,6,12,410,100,6299.99,227.68
26,78,7,1458,70,5374.85,323.12
20,39,22,982,95,7075.51,620.88
6,24,12,1662,18,1222.65,78.62
14,100,29,1317,45,3790.44,64.08
13,5,8,1271,44,1767.80,141.28
11,18,13,1044,28,1320.13,112.73
32,68,6,1048,48,3287.89,214.50
48,24,27,1777,21,682.67,60.26
33,78,9,268,94,3652.57,272.15
7,68,12,1748,29,2364.29,54.36
47,67,27,7,56,2665.35,220.46
3,99,22,186,57,4473.07,211.49
11,74,3,136,58,4483.61,269.90
49,73,30,813,49,4328.48,353.78
23,72,10,915,22,820.44,72.21
38,12,29,490,66,6487.95,16.33
50,49,5,702,79,4058.90,359.67
44,68,26,1387,3,82.18,7.62
50,53,27,871,93,6946.92,542.08
48,16,24,1246,39,3800.60,49.01
9,90,13,469,19,179.51,5.16
9,87,30,614,8,232.83,3.72
3,88,9,22,42,487.79,18.97
40,55,16,1597,55,2493.85,220.68
43,65,20,67,53,3369.79,151.05
33,36,8,778,32,2577.75,109.29
2,98,25,238,95,6490.67,602.96
33,53,15,853,8,710.41,30.98
15,17,22,1196,30,426.61,19.91
17,85,15,1541,12,794.43,59.33
33,38,1,38,68,3611.74,281.89
10,100,9,1669,53,2055.68,39.49
35,32,9,893,53,3177.74,13.86
18,6,4,424,38,428.16,33.41
9,92,1,1065,91,6668.86,324.78
27,26,25,231,25,842.66,65.19
24,52,13,553,80,5357.48,260.12
44,7,26,1058,19,1721.76,104.48
21,39,14,1639,65,3627.32,175.96
32,41,17,1501,42,4128.86,127.33
38,34,25,45,61,4642.92,308.94
36,98,14,1324,27,649.81,44.26
4,70,9,1005,13,128.13,5.68
23,44,14,1288,93,4162.46,258.50
30,72,19,729,2,191.88,0.23
40,18,30,1223,74,855.01,7.51
32,17,21,115,72,706.79,34.53
34,29,14,175,57,3591.99,153.02
3,80,28,608,95,2454.27,58.38
31,17,29,38,86,1123.34,10.01
42,40,1,1746,69,2733.12,150.62
45,40,15,969,16,768.62,0.43
50,48,14,444,40,1403.80,28.31
10,17,18,809,44,2367.07,88.20
40,10,9,359,35,3358.50,18.01
33,44,29,1319,50,4369.71,105.28
15,63,5,785,26,468.02,13.28
19,13,5,1360,82,6599.78,273.44
16,18,7,1269,34,2266.47,68.22
31,6,4,1698,8,434.81,22.18
24,65,6,1386,83,7725.82,505.26
31,63,28,1162,7,259.81,0.16
21,94,15,274,66,3264.55,106.24
17,98,13,958,48,2308.54,181.25
1,10,29,1615,49,3874.74,153.50
21,99,18,1092,23,511.85,46.79
7,72,19,1113,15,751.44,69.33
4,53,2,1493,87,3096.50,195.19
40,48,26,467,19,1531.89,151.71
45,88,8,1628,59,4609.35,432.29
33,76,4,1007,55,79.27,7.35
42,100,20,174,85,1825.40,125.93
22,94,12,931,5,374.17,5.31
32,51,14,686,92,1565.32,39.91
7,46,25,818,98,5518.99,31.18
23,16,18,1392,32,528.97,1.49
20,96,3,1285,54,2279.97,66.00
11,48,2,1425,38,2450.17,226.46
46,9,25,1232,33,637.00,61.67
36,95,22,244,84,2227.85,171.77
13,36,12,213,14,1263.73,47.46
40,61,6,1288,79,3844.92,174.51
45,63,13,171,70,6637.47,350.93
43,50,20,862,1,91.56,0.41
37,46,6,1456,19,194.82,19.17
10,82,23,1339,95,6872.41,407.99
38,1,5,304,11,1046.20,82.49
26,10,7,977,85,7125.61,89.86
3,9,23,789,79,4076.03,372.46
13,26,9,1213,51,2360.97,232.58
19,54,14,1121,77,901.13,12.73
7,71,12,868,73,1855.31,26.49
18,33,10,1534,52,3679.75,66.37
11,21,20,692,14,278.00,19.53
3,44,26,47,99,3148.49,45.38
29,88,9,1468,37,3098.63,288.92
8,12,27,1643,40,695.81,0.37
11,84,18,626,27,2648.51,224.97
24,89,5,572,98,9154.02,825.24
37,98,5,251,4,334.90,4.58
5,48,4,1198,27,2276.17,191.53
35,16,26,21,1,3.34,0.33
28,74,20,468,6,94.61,4.56
23,27,15,526,2,48.61,0.34
36,63,14,363,46,2884.77,77.78
22,96,19,766,17,1124.16,78.64
2,29,10,1756,84,1461.03,24.47
15,15,28,1308,86,1052.67,60.42
33,97,30,574,41,2625.03,99.60
31,74,16,911,29,2033.71,174.15
11,40,13,849,55,3328.81,319.18
13,2,10,824,27,2373.43,157.48
9,29,20,409,27,1703.61,52.08
3,75,16,113,84,5127.90,173.95
35,23,25,857,44,2848.33,224.10
40,95,8,1597,74,4685.30,61.82
23,2,29,81,49,4443.47,118.01
10,91,5,1700,4,117.98,8.98
24,98,22,742,13,153.47,7.47
21,58,30,1085,1,8.71,0.30
3,72,16,1585,50,4766.16,379.05
9,58,16,1396,16,65.87,3.54
31,99,28,1195,53,476.17,10.11
17,25,17,1702,9,50.85,1.48
40,96,25,1668,27,833.07,58.54
24,49,11,1273,37,2833.50,157.36
22,70,30,974,58,5576.09,462.46
25,43,27,1315,83,7978.11,358.99
48,44,25,799,9,373.10,20.89
3,92,2,1157,52,854.78,0.26
14,8,10,1653,22,221.41,20.53
11,38,2,938,84,1857.73,19.43
15,32,16,414,50,1508.81,23.20
31,95,30,58,9,88.37,3.43
29,78,17,1637,42,1303.57,91.19
5,12,6,952,4,95.94,9.53
32,94,8,526,15,962.23,27.30
43,75,11,1568,40,3307.00,100.98
48,73,13,363,100,2519.53,117.60
10,15,23,1381,32,2856.69,112.34
29,37,27,558,26,1593.03,30.00
38,98,6,545,84,3338.13,131.46
18,88,9,1431,39,3233.32,198.51
48,52,14,455,8,93.36,3.31
14,25,23,575,80,10.20,0.84
15,37,18,1456,24,1701.77,115.73
29,2,2,537,53,3281.69,318.23
28,37,18,560,19,1531.41,88.20
6,78,27,1383,49,1544.24,97.20
32,57,21,1198,53,1544.64,42.42
39,85,14,1011,28,2307.85,73.18
38,64,11,1799,69,1484.45,2.40
21,37,25,1516,72,3840.54,43.31
15,35,25,1606,56,1942.84,54.40
4,53,26,265,70,340.99,17.20
2,19,2,100,76,1704.09,16.97
35,28,8,631,83,2388.65,86.82
38,35,22,206,23,476.31,32.87
38,92,28,594,16,1368.81,81.51
48,56,2,525,58,3571.44,169.73
28,94,9,675,12,291.91,22.29
4,36,15,225,20,1961.60,52.67
2,34,18,721,5,30.50,2.59
23,23,19,480,45,2490.24,179.54
31,96,1,382,81,1705.67,145.36
9,51,11,762,2,165.26,12.93
48,70,2,1424,26,2313.32,87.74
41,16,24,1427,27,153.54,3.45
50,53,2,1001,39,3816.40,175.31
48,54,5,235,73,4192.11,216.42
37,5,14,537,29,1549.47,89.75
3,13,14,1778,76,1727.53,164.57
50,78,1,1347,50,375.80,18.17
31,34,24,217,97,7155.26,57.34
7,66,17,964,67,5838.94,221.57
4,83,23,1265,55,2085.98,59.37
9,99,6,717,96,583.71,47.77
42,95,18,942,18,781.51,15.11
23,11,5,1235,89,8872.10,431.47
18,99,21,119,76,1204.75,86.53
37,17,9,21,100,1287.59,53.37
49,69,30,631,87,6126.55,400.37
3,27,2,1384,76,3736.52,234.43
38,28,30,1326,88,1589.45,139.88
35,78,20,850,16,282.29,10.92
6,15,11,1311,35,308.21,26.90
34,60,9,1459,2,36.25,0.91
15,48,6,1583,50,293.88,15.57
12,25,24,1589,75,3265.30,11.58
43,50,17,1543,61,3353.17,277.61
31,43,21,1412,95,338.16,21.86
28,91,24,1738,48,3598.98,230.39
40,10,9,757,46,900.97,86.17
3,96,18,56,79,460.61,44.88
30,25,23,1321,9,851.26,52.70
28,45,28,355,69,5607.37,142.56
14,83,14,1532,44,2097.98,38.18
29,78,21,619,87,8668.37,43.74
23,48,12,124,79,1949.50,128.11
10,43,13,668,17,523.97,20.16
47,51,2,413,49,939.56,38.83
23,56,8,635,16,1028.12,36.33
22,89,11,1042,84,589.62,45.07
46,85,23,772,60,2266.33,174.01
27,58,30,368,18,661.01,3.27
35,77,17,619,96,9115.12,175.01
26,68,27,1272,46,4136.24,120.65
12,85,22,644,35,2214.83,98.89
46,90,22,507,61,4070.72,398.16
13,31,23,100,54,4325.90,336.32
17,16,13,1157,36,2153.03,157.51
20,96,1,1776,27,412.46,30.14
22,31,8,101,38,1380.09,89.52
50,55,7,992,27,130.89,11.93
31,10,23,989,76,1510.95,58.10
7,48,28,594,39,1886.23,65.76
41,4,25,601,86,5689.30,74.50
34,12,22,1298,85,3400.91,45.44
32,56,4,1475,77,6885.95,167.15
27,82,2,1551,65,2810.27,70.31
39,22,26,558,58,4109.86,333.52
7,56,26,1080,58,2344.72,134.18
40,26,2,1697,91,8467.67,543.42
15,53,5,1404,28,2679.87,190.02
13,89,23,563,53,4837.05,211.14
11,64,17,1310,13,96.86,5.99
15,90,23,1334,8,281.42,19.76
24,34,22,1174,51,3338.49,319.84
27,94,16,1159,7,513.49,15.15
15,13,23,28,43,479.59,1.76
26,29,7,80,70,6640.03,35.46
39,35,11,268,23,313.29,5.97
40,64,19,1457,37,3472.00,191.60
43,58,9,789,66,4476.65,32.78
33,30,11,1541,61,5805.67,105.64
14,70,20,772,16,1591.82,91.61
8,63,13,186,49,31.02,0.85
34,49,24,1526,4,380.47,7.99
40,53,30,1482,46,685.88,11.22
16,79,9,541,12,669.26,37.67
2,73,13,563,83,1328.29,19.43
4,84,30,1169,96,2105.43,165.92
40,27,25,1014,34,3307.64,303.27
26,98,11,1184,81,5882.94,273.10
5,78,13,1679,58,5771.79,8.95
30,46,15,947,27,812.94,16.23
31,53,8,414,37,2846.94,98.33
44,90,13,1070,73,6926.16,201.93
4,94,13,1410,14,1231.52,86.02
37,32,9,937,22,1112.83,31.44
28,51,5,1241,57,278.09,21.56
9,90,20,1250,91,1978.86,185.79
33,93,15,783,8,71.51,0.56
49,40,10,1235,37,1236.33,42.67
17,78,21,207,14,1348.49,49.62
12,37,23,1184,65,5625.56,12.55
13,5,27,1620,61,3261.04,92.04
31,100,18,1818,13,425.38,10.22
28,51,20,4,86,6892.83,58.13
12,98,23,179,45,3002.21,103.02
18,95,20,1308,49,54.60,1.30
46,31,18,1260,22,2008.50,134.66
49,81,11,377,50,1998.27,73.08
18,53,13,1110,22,166.13,7.07
26,72,1,328,60,1411.15,129.83
44,28,3,334,70,6460.81,519.52
16,56,17,1823,50,4052.10,66.05
25,46,11,232,48,899.84,4.65
38,13,27,634,36,119.01,1.18
41,96,28,305,87,3808.86,334.40
20,74,22,1778,69,2491.99,205.96
37,21,27,1413,50,473.50,10.61
2,6,5,1247,94,6034.88,272.57
18,20,8,785,26,614.56,18.73
4,7,21,1719,41,2171.37,52.76
44,64,13,90,22,307.06,21.66
40,49,30,1643,91,6967.64,315.35
18,67,13,1451,20,1440.30,49.97
43,59,17,1750,89,805.34,23.96
20,36,30,1146,5,205.44,15.76
16,35,25,1434,28,722.12,63.80
7,54,24,538,42,1183.03,66.25
12,8,27,1259,64,4614.80,333.46
8,51,28,797,59,2889.49,184.12
15,7,23,875,100,9048.54,714.88
26,90,12,289,25,1962.85,13.14
26,71,25,1069,12,255.80,10.42
37,80,8,485,10,296.27,8.61
1,19,26,1807,25,1626.35,4.55
39,5,8,826,61,2352.25,82.63
42,17,27,919,36,2248.70,23.12
50,66,5,1097,19,675.56,29.93
19,2,4,289,100,4899.45,143.18
26,10,14,953,38,157.19,5.28
41,69,17,1178,12,478.63,23.40
42,52,6,267,98,9688.74,827.57
3,81,17,1734,23,422.41,17.52
50,15,30,1703,2,61.21,5.56
18,11,20,725,50,1257.84,60.45
10,21,8,934,80,6576.29,227.39
32,34,7,1552,2,53.39,3.21
2,25,8,1202,46,545.29,15.60
13,11,7,120,66,4476.36,255.21
7,41,10,1540,54,222.17,5.30
38,69,5,1560,50,4245.17,46.29
32,84,13,901,57,2202.60,88.21
31,66,14,732,10,91.04,7.23
26,82,27,1367,46,1696.14,78.73
9,72,26,791,51,769.52,6.31
38,97,19,1689,21,1589.05,154.68
20,45,4,1210,58,5548.66,543.58
35,49,28,1394,100,2621.02,210.23
26,30,2,633,97,1739.44,170.45
19,27,20,425,30,1162.82,112.84
25,44,27,1256,90,8472.04,410.68
48,4,13,1706,51,3474.72,149.21
44,25,27,687,74,5230.81,454.28
14,9,2,1074,36,111.17,1.29
19,30,21,1243,25,1448.82,5.35
40,43,29,1254,40,3984.17,141.84
19,56,3,37,60,2901.01,107.36
16,43,17,1144,30,1737.40,23.35
11,5,17,1506,40,387.03,23.02
12,47,6,74,34,2562.50,93.53
30,100,18,711,9,103.49,1.60
9,81,20,279,92,5204.12,351.12
1,68,25,500,81,930.37,71.20
48,5,15,1631,50,2937.69,96.15
47,93,11,1318,77,3080.50,199.47
46,1,24,351,58,974.26,30.44
35,18,17,1303,100,8238.39,678.36
5,68,3,1404,45,2529.09,110.08
5,85,9,1061,24,2360.71,152.63
4,61,8,1235,75,5465.48,476.05
21,4,24,317,98,547.01,1.50
16,22,4,753,83,3918.38,214.53
44,70,25,335,28,697.02,42.58
37,42,23,207,85,2099.77,46.53
40,86,30,596,84,7031.07,191.37
29,68,28,1453,68,6410.74,327.16
50,85,7,477,43,1542.37,4.63
16,62,20,259,31,2036.95,96.41
2,88,2,1359,49,4176.37,396.49
49,2,2,485,64,1389.66,54.91
27,8,17,249,96,4710.61,119.68
38,53,27,1108,34,1022.35,56.30
2,72,22,80,98,9567.63,415.42
4,57,30,1243,17,917.59,17.77
8,9,6,1534,61,4083.35,299.24
16,96,25,276,31,1677.89,152.94
13,32,2,658,11,96.40,6.64
36,86,27,1045,88,6632.31,338.82
19,41,28,109,6,228.35,3.71
43,43,22,314,54,2242.54,32.73
47,52,26,409,98,3961.54,36.71
27,11,8,898,80,3222.35,204.95
49,49,11,65,10,127.83,6.54
23,30,15,1302,19,1143.52,43.79
3,98,14,122,9,743.29,31.24
29,64,5,708,98,118.30,0.57
17,51,6,790,61,3004.04,44.39
3,43,8,1135,5,258.31,5.64
28,76,21,1251,62,3068.33,289.22
6,6,18,877,71,4056.03,6.76
47,61,30,539,41,2528.55,19.48
18,22,29,655,82,2037.21,164.52
32,88,3,1661,74,4614.37,63.51
38,12,18,1336,64,370.99,17.99
27,45,4,1424,86,1236.75,119.60
26,81,1,1764,82,230.63,18.54
50,72,27,658,90,1947.16,1.61
3,49,3,1111,60,3544.07,233.09
24,52,11,929,12,1000.40,57.18
44,88,2,1217,10,431.86,4.17
32,69,3,1054,100,4965.59,296.97
3,67,7,787,66,3543.53,285.62
8,54,24,712,33,694.55,49.97
31,85,19,1642,18,1233.63,10.85
24,96,25,1701,86,1930.82,113.16
39,96,9,1597,60,482.48,27.60
40,3,27,569,90,8017.18,460.87
16,61,21,475,7,10.36,0.74
7,20,8,938,53,1753.33,166.11
44,25,2,306,9,311.69,7.75
31,10,10,1368,5,176.57,6.93
45,89,20,126,57,3518.45,186.52
27,47,3,2,82,6883.26,486.58
3,19,29,1119,35,1873.69,15.67
44,19,26,762,5,279.51,8.33
50,71,9,1571,71,6470.89,461.34
9,30,24,612,73,220.57,14.16
35,48,24,315,27,690.44,65.50
16,71,9,1029,61,3755.08,363.18
35,89,11,1697,79,1102.61,75.20
14,97,8,1163,80,356.01,4.79
5,47,8,335,5,347.21,27.55
23,22,19,1797,76,1116.92,0.35
4,20,5,699,56,4141.97,24.94
19,94,25,1153,82,5837.04,22.63
37,29,7,1039,42,3115.30,63.06
40,52,16,457,23,1750.65,158.87
42,2,16,479,18,691.71,53.26
50,81,10,1206,40,1762.80,164.42
45,92,22,1176,31,224.03,21.45
46,85,12,416,19,762.11,11.07
19,37,11,789,95,9101.42,139.95
13,35,2,1080,28,492.16,34.61
8,91,28,692,70,182.21,16.10
15,38,20,1369,58,2772.72,259.12
50,25,22,1801,53,614.56,17.32
14,39,20,924,5,243.54,12.75
44,23,2,616,68,6367.87,541.35
25,33,11,1408,6,492.15,31.52
20,53,19,1433,90,1490.59,30.68
45,34,9,819,73,4552.44,100.95
50,2,27,426,29,1091.52,64.49
19,27,22,984,52,245.00,16.79
9,5,21,752,38,3317.16,107.46
3,52,12,840,36,408.50,2.60
7,25,22,7,54,4039.88,197.14
6,97,18,1434,14,500.75,10.13
30,63,25,454,75,1680.14,131.42
40,98,6,600,76,6362.07,522.82
13,86,27,237,82,2455.27,131.89
39,50,2,462,2,106.30,3.26
41,60,14,1044,29,1807.26,34.50
42,100,8,269,9,344.12,15.03
31,63,15,1422,50,3511.58,171.55
48,45,23,1493,51,414.17,22.49
21,78,6,925,97,5969.99,547.49
45,51,22,328,11,905.65,83.14
9,74,16,1429,42,1436.86,25.10
13,56,4,136,99,4955.29,349.77
36,96,23,476,33,1894.38,29.49
21,27,29,1190,72,5214.20,212.86
44,94,5,1279,12,718.40,46.51
11,16,17,250,100,4022.04,327.49
46,82,30,1607,74,6359.33,457.63
32,50,8,1259,28,2041.51,139.00
45,32,8,1605,31,86.54,6.11
25,51,8,506,86,1393.52,80.59
42,6,28,1646,35,3173.78,194.53
14,2,20,103,94,8626.73,836.43
41,89,11,577,48,2319.95,193.19
6,87,23,491,44,1671.29,28.83
35,16,30,731,67,5818.74,185.58
50,79,20,1781,91,1489.96,89.88
43,26,14,682,81,1626.55,21.34
48,43,9,366,25,586.02,51.62
26,82,20,619,98,5905.17,243.56
3,31,19,1703,99,9590.41,355.19
9,80,23,773,72,5481.26,280.40
29,17,24,1120,8,249.33,11.75
12,5,20,1612,70,2474.86,216.60
50,94,12,705,84,5146.35,343.64
10,7,25,1290,21,473.72,7.02
23,22,26,762,73,3242.19,149.22
31,89,2,223,65,3252.87,278.16
44,13,10,335,86,6039.47,290.91
23,33,27,1797,14,1272.11,125.74
40,51,1,35,73,2749.90,153.48
11,31,6,1568,59,1689.79,4.71
8,78,27,1359,27,1171.39,8.64
3,100,10,413,78,3593.03,349.95
50,10,13,1182,17,1479.63,80.76
6,67,27,908,73,2688.36,63.38
14,49,30,1343,99,8832.68,114.91
42,35,27,212,32,2477.03,48.49
30,26,15,264,60,4299.39,114.82
45,70,8,1420,63,150.99,4.82
11,70,22,373,61,5312.47,308.19
43,54,21,299,56,58.96,2.32
46,38,9,18,86,6543.34,34.91
20,92,2,1302,27,1009.27,13.29
2,80,4,1148,91,8848.07,663.24
28,31,11,235,86,1682.21,11.71
1,91,17,1259,75,1126.29,31.78
12,97,28,729,72,2899.37,257.59
48,24,24,1689,14,323.37,32.18
